Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90119011,Dandenong,1,0,0,1.004620217,0.075485985,0.0791582
90119011,MMC- Clayton,1,0,0,1.008146168,0.060393437,0.064868857
90119071,Casey,3,0,0,3.00411653,0.007945865,0.077315486
90119285,MMC- Clayton,8,0,0,8.008585314,0.018872355,0.075749757
90119577,MMC- Clayton,43,1,2,43.00762222,1.034532292,2.068587092
90119715,Casey,4,0,0,4.008786163,0.036784102,0.094742504
90119742,Casey,4,0,0,4.003284417,0.062262838,0.016089928
90119742,Dandenong,5,0,0,5.002533479,0.035458125,-0.000336311
90119823,MMC- Clayton,12,0,0,12.00574345,0.069034996,0.002059374
90119848,MMC- Clayton,1,0,0,1.00668812,0.075951057,0.003703757
90119860,Casey,1,0,0,1.009672536,0.092659306,0.019707114
90119860,MMC- Clayton,2,0,0,2.002277576,0.00539278,0.04163268
90119901,MMC- Clayton,5,0,0,5.006813822,0.067353273,0.0242843
90119988,Dandenong,1,0,0,1.003829849,0.09089627,0.036799076
90119988,MMC- Clayton,4,0,0,4.005038615,0.065616445,0.06951268
90121871,MMC- Clayton,2,0,0,2.005557629,0.060093027,0.001726351
90122677,Casey,2,0,0,2.009001457,0.025357434,0.047994146
90122677,MMC- Clayton,32,0,0,32.00512698,0.034487638,0.043328246
90123231,Casey,7,0,0,7.001482099,0.068849905,0.076447126
90123234,Casey,1,0,0,1.005935864,0.027861296,0.068317307
90123243,Casey,3,0,0,3.001028719,0.010237153,0.043267143
90123249,MMC- Clayton,8,0,0,8.009303978,0.017866312,0.041354481
90123255,Casey,3,0,0,3.004676725,0.040302843,0.067529023
90123258,Casey,3,0,0,3.001202626,0.035835542,0.078872763
90123261,Casey,3,0,0,3.008794638,0.081208311,0.020472738
90123262,Casey,8,0,0,8.00937227,0.049121682,-0.004026484
90123265,Casey,5,0,0,5.002326491,0.070958854,0.088967061
90123274,Casey,5,0,0,5.005406448,0.089420085,0.046083649
90123274,Dandenong,4,0,0,4.007995425,0.057095302,0.078854772
90123284,Casey,4,0,0,4.002399949,0.069148389,0.070596614
90123295,Casey,1,0,0,1.009437593,0.079903216,0.02237433
90123296,Casey,3,0,0,3.008142698,0.049183154,0.016598448
90123301,Casey,4,0,0,4.003164223,0.000451563,0.032976455
90123309,MMC- Clayton,3,0,0,3.00621652,0.050267656,0.071065678
90123323,Casey,4,0,0,4.006678242,0.000215175,0.035166799
90123332,Casey,1,0,0,1.008757974,0.060105269,0.032687102
90123339,Dandenong,2,0,0,2.007282685,0.085754864,0.043572556
90123339,MMC- Clayton,16,0,0,16.00934793,0.03738394,0.021969632
90124199,Casey,5,0,0,5.006129983,0.045509515,0.064569008
90124202,Casey,8,0,0,8.003883609,0.044208737,0.033648735
90124202,Dandenong,7,1,14,7.005120636,1.086964986,14.07067398
90124438,Casey,14,0,0,14.00216027,0.006197247,0.092549775
90124438,Dandenong,1,0,0,1.00671043,0.076038233,0.035765252
90124438,MMC- Clayton,21,0,0,21.00754577,0.068205185,0.073492359
90124439,Casey,10,0,0,10.0091157,0.093465167,0.087821598
90124439,Dandenong,4,1,25,4.005815557,1.08950313,25.07007365
90124440,Casey,26,0,0,26.00265316,0.032750139,0.04333163
90124441,Casey,7,0,0,7.000270248,0.05101381,0.085146686
90124443,Casey,3,1,33,3.002364111,1.004472564,33.0849916
90124445,Casey,6,0,0,6.002501571,0.01369525,0.008044331
90124446,Casey,6,1,16,6.00966367,1.058218144,16.05390988
90124446,Dandenong,1,0,0,1.002068655,0.001639763,0.027278038
90124447,Casey,7,0,0,7.000431068,0.08789225,0.007645124
90124447,Dandenong,5,0,0,5.005844741,0.013031686,0.054003209
90124449,Casey,2,0,0,2.008466283,0.039737044,0.091506925
90124449,Dandenong,10,0,0,10.00561773,0.015287424,0.057820317
90124459,Dandenong,2,0,0,2.007080726,0.078772424,0.073265718
90124476,MMC- Clayton,8,0,0,8.007811249,0.018135491,0.040798476
90124487,MMC- Clayton,2,0,0,2.008469767,0.078664158,0.06403817
90124491,Casey,5,0,0,5.005680036,0.01090697,0.072706881
90124492,MMC- Clayton,3,1,33,3.004717908,1.019818818,33.0208246
90124499,Dandenong,1,0,0,1.005711575,0.071262608,0.018426995
90124502,Casey,5,0,0,5.006953355,0.038258943,0.00930586
90124502,MMC- Clayton,2,0,0,2.004718783,0.037056716,0.070011591
90124505,MMC- Clayton,8,0,0,8.002982044,0.043732531,0.070979418
90124508,Casey,11,0,0,11.00043911,0.025443391,0.037732552
90124515,Dandenong,1,0,0,1.004104185,0.036575162,0.064440004
90124517,Dandenong,4,0,0,4.008903373,0.022038497,-0.002158499
90124517,MMC- Clayton,3,0,0,3.007434463,0.03966917,-0.002106879
