Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_target,jitter_percentage
90123249,8,MMC- Clayton,0,0,8.000917632,0.000244995,-0.000692946
90123309,3,MMC- Clayton,0,0,3.002691445,0.002495345,0.000733039
90123339,16,MMC- Clayton,1,6,16.0033112,1.003025854,6.001610056
90124438,21,MMC- Clayton,0,0,20.99922199,0.004585802,-0.003235119
90124476,8,MMC- Clayton,0,0,8.00054587,0.003638223,0.003096237
90124487,2,MMC- Clayton,0,0,1.995142905,-5.35164E-05,0.000803472
90124492,3,MMC- Clayton,0,0,2.99739635,0.003777485,-0.003034886
90124502,2,MMC- Clayton,0,0,2.001570934,0.003574384,-0.003065751
90124505,8,MMC- Clayton,1,12,8.002743912,0.999508421,11.99517419
90124517,3,MMC- Clayton,0,0,3.003705097,-0.003574002,-0.003451351
90124523,2,MMC- Clayton,0,0,1.998281009,-0.002040172,-0.002495181
90124524,11,MMC- Clayton,0,0,11.00120354,-0.004890599,0.004531577
90124526,19,MMC- Clayton,1,5,19.0023343,0.995816291,4.997031058
90124543,3,MMC- Clayton,0,0,2.99555522,-0.003922102,0.003202406
90124546,2,MMC- Clayton,0,0,2.001153062,0.00426117,-0.001504321
90124561,9,MMC- Clayton,0,0,9.003918211,0.000600082,-0.003618449
90124563,1,MMC- Clayton,0,0,0.998261948,-0.001587029,-0.003063711
90124585,3,MMC- Clayton,0,0,3.002159345,-0.004402418,-0.004633498
90124609,24,MMC- Clayton,2,8,23.99625483,2.00418898,8.003209281
90124621,24,MMC- Clayton,1,4,23.99953366,1.004756641,4.001755993
90124633,2,MMC- Clayton,0,0,2.001938979,0.001310838,0.001645787
90124637,6,MMC- Clayton,1,16,5.998359326,1.002778851,15.99703245
90124682,5,MMC- Clayton,0,0,5.000964404,-0.002789231,0.001111955
90124698,14,MMC- Clayton,0,0,13.99865535,-0.002470988,0.001637875
90127293,5,MMC- Clayton,1,20,4.999338648,0.996237813,20.00331131
90127515,4,MMC- Clayton,0,0,3.99610684,-0.000442375,0.002023396
90136838,17,MMC- Clayton,1,5,16.99933546,1.000197981,4.995984051
90136845,1,MMC- Clayton,0,0,0.999039024,0.000690811,-0.001389812
90136849,4,MMC- Clayton,0,0,3.998445554,0.000919776,-0.003913341
90136850,16,MMC- Clayton,1,6,16.00358003,1.002674207,6.004567648
90137813,1,MMC- Clayton,0,0,0.999759742,0.000933342,-0.004619984
90138704,9,MMC- Clayton,1,11,8.996286558,0.998185083,10.99849736
90138705,9,MMC- Clayton,0,0,9.001609095,0.004553242,-0.003022551
90141884,4,MMC- Clayton,0,0,3.995237751,0.001931751,-0.001478359
90142519,22,MMC- Clayton,0,0,21.99652761,0.003033209,-0.003886448
90142824,8,MMC- Clayton,1,12,7.997754509,1.000966797,12.00184932
90142841,1,MMC- Clayton,0,0,0.998826747,0.001897749,-0.000707643
90144405,39,MMC- Clayton,2,5,39.00461695,2.003853661,5.003812963
90144435,1,MMC- Clayton,0,0,0.999232403,0.003914574,0.004937707
90144443,20,MMC- Clayton,2,10,19.99923446,1.999492806,9.995895619
90144607,3,MMC- Clayton,0,0,2.996789413,-0.003715229,-0.004914766
90144736,13,MMC- Clayton,0,0,13.00258491,-0.000549734,-0.002368882
90144787,5,MMC- Clayton,0,0,4.998717632,0.002416039,0.004071061
90144878,5,MMC- Clayton,0,0,5.002156781,0.001654487,0.003603424
90144901,13,MMC- Clayton,1,7,13.0030343,1.001682833,6.999805427
90144911,5,MMC- Clayton,0,0,5.002469486,-0.00358293,-0.000784815
90145024,2,MMC- Clayton,0,0,2.002641569,-0.002433429,0.004681108
90145085,12,MMC- Clayton,0,0,11.99951129,0.000888133,-0.00385937
90145086,30,MMC- Clayton,1,3,30.00325756,1.004228403,3.000887579
90145218,6,MMC- Clayton,0,0,5.99701564,-0.002897369,0.003974766
90145257,6,MMC- Clayton,0,0,5.999791917,-0.000513246,0.003493491
90145261,1,MMC- Clayton,0,0,1.003023167,0.003720189,-0.004741559
90145292,6,MMC- Clayton,0,0,6.003772779,-0.004519616,0.001364584
90145296,1,MMC- Clayton,0,0,1.004401221,0.001272657,0.00276999
90145390,16,MMC- Clayton,2,12,15.99846985,2.001446515,12.00403129
90145408,10,MMC- Clayton,0,0,10.00129228,0.000954857,0.003267946
90145549,4,MMC- Clayton,0,0,3.995337968,0.001750568,-3.14704E-05
90145738,12,MMC- Clayton,0,0,12.0008195,0.000887064,0.003350404
90145754,6,MMC- Clayton,1,16,5.995332128,0.998734464,16.00351291
90145901,37,MMC- Clayton,1,2,37.00339223,1.002423086,1.998401092
90146286,18,MMC- Clayton,2,11,18.00094741,1.999450745,10.99966773
90148355,2,MMC- Clayton,0,0,1.999122076,0.002850849,-0.002608284
90148809,1,MMC- Clayton,0,0,1.004445984,-0.002827131,-0.000504737
90149605,9,MMC- Clayton,0,0,8.998672568,0.000369113,-0.001146289
90150180,4,MMC- Clayton,1,25,3.998368138,1.004713994,25.00363194
90153189,1,MMC- Clayton,0,0,0.996385587,-0.003052735,-0.001432329
90153195,1,MMC- Clayton,0,0,0.997362622,-0.002848068,0.00104824
90154175,13,MMC- Clayton,0,0,13.00479812,-0.001048325,-0.002375828
90155188,12,MMC- Clayton,0,0,12.00018005,0.001763842,-0.004565375
90155200,20,MMC- Clayton,0,0,20.00021198,0.003468634,0.001960233
90157612,19,MMC- Clayton,0,0,18.99547917,-0.000979316,0.002096953
90159236,4,MMC- Clayton,1,25,4.003643721,1.000776617,25.00433016
90160332,2,MMC- Clayton,0,0,2.002029186,0.003808327,-0.00434903
90160501,4,MMC- Clayton,1,25,4.001143643,0.996578551,24.99628669
90160513,1,MMC- Clayton,0,0,1.004260274,0.003021184,0.00369109
90160621,1,MMC- Clayton,0,0,0.995083868,0.00399288,0.003699703
90160636,2,MMC- Clayton,0,0,1.997323783,0.002905554,0.004117982
90160699,3,MMC- Clayton,0,0,3.004688282,-0.003557057,0.003006472
90161039,21,MMC- Clayton,1,4,20.99939588,0.998497455,3.997144803
90161091,17,MMC- Clayton,0,0,17.00061895,-0.002554958,0.003759636
90161185,1,MMC- Clayton,0,0,1.004035441,-0.00378214,0.002466361
90161376,1,MMC- Clayton,0,0,1.003771169,0.004879111,-0.000810526
90161873,19,MMC- Clayton,0,0,18.99599279,-0.00062988,-0.001123277
90162077,11,MMC- Clayton,0,0,10.99928265,0.004499598,-0.001687688
90162078,13,MMC- Clayton,0,0,12.99901149,0.004482391,-0.002739559
90162079,31,MMC- Clayton,3,9,31.00290518,3.003856841,8.997838477
90162080,5,MMC- Clayton,0,0,4.996075056,0.003807085,0.000697664
90162081,41,MMC- Clayton,3,7,41.00292595,3.003158499,7.004492212
90162082,9,MMC- Clayton,0,0,9.002995475,-0.001122228,0.00317188
90162251,33,MMC- Clayton,1,3,33.00202708,1.004913579,3.002006718
90162252,27,MMC- Clayton,1,3,27.00299013,1.002895244,3.004537623
90162330,14,MMC- Clayton,0,0,14.0012648,-0.000542258,0.00499016
90162599,37,MMC- Clayton,2,5,36.99964331,1.998064206,5.002701264
90162759,20,MMC- Clayton,0,0,20.00178095,0.000914649,0.002252232
90162896,13,MMC- Clayton,0,0,12.99651944,0.001985183,-0.002604474
90165262,16,MMC- Clayton,0,0,15.99902758,-0.001093651,-0.002863997
90166103,7,MMC- Clayton,0,0,7.003212723,-0.000993611,-0.003509391
90166170,13,MMC- Clayton,0,0,12.99598172,-0.001271687,0.004283349
90166333,2,MMC- Clayton,0,0,2.004162057,0.002269696,0.001183326
90166347,2,MMC- Clayton,0,0,1.999331234,0.003980851,-0.000141367
90002772,6,Dandenong,0,0,5.99687777,-0.00260004,-0.002981433
90003943,2,Dandenong,0,0,2.0024874,0.001516657,-0.002545032
90004289,1,Dandenong,0,0,1.003604799,-0.003422362,0.000761314
90005035,2,Dandenong,0,0,1.995311205,-0.000940738,0.000139715
90007275,9,Dandenong,0,0,8.996715248,0.00453205,0.003280681
90008672,8,Dandenong,1,12,8.002531169,1.000230106,11.9972124
90013900,1,Dandenong,0,0,0.998870678,-0.002813505,0.001772692
90015608,6,Dandenong,0,0,5.998981339,0.004190918,-0.001210898
90015746,1,Dandenong,0,0,0.998834697,-0.003694363,0.003398547
90016143,1,Dandenong,0,0,0.99858196,-0.002421957,-0.001669485
90020817,8,Dandenong,0,0,7.998109306,0.001425412,0.000209231
90021003,4,Dandenong,1,25,3.9971799,0.997049153,24.99840681
90024223,1,Dandenong,0,0,1.002117663,-0.002568322,-0.000182321
90025727,3,Dandenong,0,0,2.999663513,0.00062461,0.00265157
90028254,6,Dandenong,0,0,6.001604062,0.003722465,-0.002054215
90029255,7,Dandenong,1,14,7.001842498,0.997802698,14.00328656
90029388,3,Dandenong,0,0,3.000435373,-0.001025505,-0.001004853
90033661,4,Dandenong,0,0,4.001833446,-0.000765967,0.002463415
90033774,3,Dandenong,0,0,3.00159547,-0.002156516,-0.001111559
90034329,2,Dandenong,0,0,1.99659099,0.000379909,-0.004430319
90035880,1,Dandenong,0,0,1.004664363,0.00106801,0.004612972
90037850,2,Dandenong,0,0,2.004268097,0.000450441,0.004429853
90039000,2,Dandenong,0,0,2.004161793,0.003155627,-0.002362728
90039551,1,Dandenong,0,0,0.997297477,-0.004608504,-0.004745583
90040184,1,Dandenong,0,0,1.003090814,0.003099941,0.003841173
90040773,4,Dandenong,1,25,4.004755412,0.996276677,25.00110399
90043890,1,Dandenong,0,0,0.996319889,0.003588404,-0.001727008
90044868,2,Dandenong,0,0,1.999182804,0.001160301,0.002460441
90047010,1,Dandenong,0,0,0.997239821,-0.004940425,-0.001256412
90047937,1,Dandenong,0,0,0.998937889,0.001366403,0.002130313
90049188,8,Dandenong,0,0,8.004405355,0.003161454,-0.000855645
90051139,9,Dandenong,0,0,9.00163205,0.002787772,0.002591462
90052916,9,Dandenong,0,0,9.002792826,0.002724111,0.002945646
90053104,3,Dandenong,0,0,3.004448608,-0.002633798,0.001738085
90053418,1,Dandenong,0,0,1.003246696,-0.000479936,-0.003924289
90054690,5,Dandenong,0,0,5.003948904,-0.004788116,0.002996239
90055388,2,Dandenong,0,0,2.002594308,-0.004735671,0.004706167
90056621,5,Dandenong,0,0,5.002680117,-0.000288592,0.004005427
90057408,5,Dandenong,0,0,4.996103738,0.003516837,-0.000909567
90057890,1,Dandenong,0,0,0.995042359,0.002760273,-0.002902725
90058786,1,Dandenong,0,0,0.997418256,-0.001965869,-0.004403101
90059584,3,Dandenong,0,0,2.995353268,-0.00487814,0.002951435
90060945,6,Dandenong,1,16,6.003130566,1.003425407,15.99826223
90060950,1,Dandenong,0,0,0.995176958,-0.000689987,0.000108581
90068267,12,Dandenong,1,8,12.00175065,1.00221524,7.998307162
90068451,4,Dandenong,0,0,4.004465807,-0.001986019,0.003607698
90071350,3,Dandenong,0,0,2.99800007,-0.002831307,-0.001010487
90072373,3,Dandenong,0,0,2.995485762,-0.004746922,0.002226967
90074642,1,Dandenong,0,0,0.99886788,-0.000200309,0.000951744
90075767,3,Dandenong,0,0,3.002703141,-0.001828277,0.003051269
90076316,3,Dandenong,0,0,2.999199686,-0.000406542,0.000675594
90080314,2,Dandenong,0,0,2.002766965,0.004640145,-0.004784029
90081957,1,Dandenong,0,0,0.99588728,0.002987589,-0.001957989
90082317,4,Dandenong,0,0,3.997450493,0.001431393,0.003133138
90082515,3,Dandenong,0,0,3.001991976,0.002004987,0.000353922
90083180,4,Dandenong,0,0,3.99539762,-0.001416655,0.001055677
90083199,4,Dandenong,0,0,3.997982888,-0.001214303,0.003325933
90085012,1,Dandenong,0,0,0.999213216,-0.003325046,0.00452244
90088199,4,Dandenong,0,0,4.002283948,-0.002651738,-0.004126325
90090296,5,Dandenong,0,0,5.00134187,-0.00065517,-0.001016594
90097823,7,Dandenong,0,0,6.999308329,-0.000779141,-0.002066885
90099752,6,Dandenong,0,0,6.004178619,0.002725248,0.004790807
90100582,7,Dandenong,1,14,6.996138391,1.002950837,13.99610632
90101219,2,Dandenong,0,0,2.002272128,-0.000889811,3.69308E-05
90102895,5,Dandenong,0,0,5.004892279,0.001563922,0.004260456
90104011,5,Dandenong,0,0,4.995617864,-0.001590573,0.000518848
90104880,3,Dandenong,0,0,3.003748336,0.004982081,0.001048395
90107017,3,Dandenong,0,0,3.000632407,-0.003187854,-0.002987425
90107765,7,Dandenong,0,0,6.99923439,-0.000240971,-0.000751573
90109083,2,Dandenong,0,0,1.998077253,0.004871492,0.000918404
90109179,1,Dandenong,0,0,0.998181558,0.001450014,-0.002349371
90112361,2,Dandenong,1,50,2.000848117,0.995476777,50.00380275
90112578,3,Dandenong,0,0,3.0012531,0.003018223,0.000294779
90113108,3,Dandenong,0,0,3.003611304,-0.001986516,-0.004220596
90115923,5,Dandenong,0,0,5.004736178,-0.004840838,-0.00376333
90116155,1,Dandenong,0,0,0.995702998,-0.004853584,-0.000720247
90117588,3,Dandenong,0,0,3.003956745,-0.004440592,-0.002904162
90118204,2,Dandenong,0,0,2.003354772,0.002267072,0.003280417
90119011,1,Dandenong,0,0,0.995280353,0.004370812,0.000942483
90119742,5,Dandenong,1,20,4.995454125,1.00413299,20.00361496
90119988,1,Dandenong,0,0,1.003583757,0.004138435,0.001790662
90123274,4,Dandenong,0,0,4.00220652,0.000372419,0.00203543
90123339,2,Dandenong,0,0,1.999335286,-0.002041564,-0.002116579
90124202,7,Dandenong,0,0,7.004346382,-0.003353242,0.004720381
90124438,1,Dandenong,0,0,1.003194648,-0.004561835,-0.000138584
90124439,4,Dandenong,0,0,4.000360614,0.004356789,0.000314281
90124446,1,Dandenong,0,0,0.995043884,-0.003979741,-0.001627022
