Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_percentage
90040184,2,Dandenong,0,0,1.999936039,-0.002422314
90040773,5,Dandenong,1,20,5.000570401,19.99742795
90043890,1,Dandenong,0,0,1.002285446,-0.004295737
90044868,5,Dandenong,0,0,5.003654472,0.000873664
90047010,6,Dandenong,0,0,5.99934318,-0.004120717
90047937,1,Dandenong,0,0,0.997465329,-0.001929974
90049188,9,Dandenong,1,11,9.003449248,11.00309055
90051139,14,Dandenong,1,7,14.0046364,7.001898331
90051275,2,Dandenong,0,0,2.001456383,0.002347311
90052916,9,Dandenong,0,0,8.997080329,0.002982117
90053104,3,Dandenong,1,33,3.004318523,32.99686556
90053418,2,Dandenong,0,0,1.995657725,-0.002766075
90053715,1,Dandenong,0,0,0.9993747,-0.003373159
90054690,8,Dandenong,0,0,8.000416066,0.004125676
90055388,2,Dandenong,0,0,2.002222463,0.001582584
90056621,12,Dandenong,0,0,11.997048,0.004859617
90057408,8,Dandenong,1,12,7.995205487,11.99832427
90057890,6,Dandenong,2,33,5.995022272,32.9969005
90058786,1,Dandenong,0,0,0.996661175,0.002588785
90059584,3,Dandenong,1,33,2.999910047,32.9967745
90060945,11,Dandenong,0,0,10.99517435,0.002574048
90060950,1,Dandenong,0,0,1.002243563,-0.003181257
90063300,1,Dandenong,0,0,1.004634727,-0.003964774
90068267,12,Dandenong,0,0,11.99885743,0.001684591
90068451,4,Dandenong,0,0,4.004744217,-0.004711662
90071350,6,Dandenong,0,0,5.999855241,0.001558314
90071662,2,Dandenong,0,0,2.004784405,-0.001596125
90072373,14,Dandenong,1,7,14.00361849,6.997540364
90074642,1,Dandenong,0,0,0.997126242,-0.002248805
90075211,1,Dandenong,0,0,1.003631615,0.001765172
90075767,10,Dandenong,0,0,9.995697115,0.001168996
90076316,5,Dandenong,0,0,4.997178408,0.003712401
90077401,3,Dandenong,1,33,3.003942719,32.99907961
90078140,7,Dandenong,0,0,7.004467886,0.003431721
90080314,2,Dandenong,1,50,1.999846514,50.00027421
90081957,2,Dandenong,0,0,1.995178601,-0.001059884
90082317,5,Dandenong,0,0,4.998494015,-0.003658932
90082515,13,Dandenong,0,0,13.00406108,-0.004520244
90082724,1,Dandenong,0,0,0.995045482,-0.003558069
90083180,4,Dandenong,0,0,3.997628558,0.002512934
90083199,11,Dandenong,0,0,10.99518024,0.004543339
90085012,1,Dandenong,0,0,1.00017543,0.003644087
90085273,1,Dandenong,0,0,0.997706004,0.001097575
90086726,5,Dandenong,0,0,4.99687201,-0.003394925
90088199,4,Dandenong,0,0,3.998522785,-0.000799142
90090296,25,Dandenong,2,8,25.00336053,7.999804432
90091034,5,Dandenong,0,0,4.995420096,0.00434134
90093122,1,Dandenong,0,0,1.001887721,-0.001267377
90093189,2,Dandenong,1,50,1.99958261,49.99779491
90097823,7,Dandenong,1,14,7.002753433,13.9976115
90098405,1,Dandenong,0,0,1.002642716,0.003889711
90099752,6,Dandenong,0,0,5.996497652,-0.001820225
90099773,5,Dandenong,0,0,4.995351648,0.001416989
90100582,16,Dandenong,0,0,16.00371995,-4.02152E-05
90101219,5,Dandenong,0,0,5.000863542,-0.004748966
90102882,3,Dandenong,0,0,2.998541955,0.002109275
90102895,17,Dandenong,0,0,17.00483817,0.001354302
90104011,10,Dandenong,1,10,10.00442036,10.00439447
90104880,3,Dandenong,0,0,3.000923163,-0.00268931
90107017,3,Dandenong,1,33,3.000645215,33.00117404
90107765,7,Dandenong,0,0,6.996866658,-0.001851323
90109083,15,Dandenong,1,6,15.0032748,6.000220594
90109179,3,Dandenong,0,0,3.001906813,-0.002728448
90110166,1,Dandenong,0,0,1.004572095,0.004022724
90111258,8,Dandenong,0,0,8.002492272,-0.004782681
