Treating.Clinician,Number of Patients Seen,Number of Patients Seen Salbutamol,Proportion Salbutamol,Hospital,Salbutamol_Percentage
90160636,2,0,0%,MMC- Clayton,0
90160699,3,0,0%,MMC- Clayton,0
90161039,29,0,0%,MMC- Clayton,0
90161091,28,0,0%,MMC- Clayton,0
90161185,1,0,0%,MMC- Clayton,0
90161376,5,0,0%,MMC- Clayton,0
90161873,34,0,0%,MMC- Clayton,0
90162077,21,0,0%,MMC- Clayton,0
90162078,20,0,0%,MMC- Clayton,0
90162080,5,0,0%,MMC- Clayton,0
90162081,61,0,0%,MMC- Clayton,0
90162251,49,0,0%,MMC- Clayton,0
90162252,46,0,0%,MMC- Clayton,0
90162330,18,0,0%,MMC- Clayton,0
90162599,47,0,0%,MMC- Clayton,0
90162759,31,0,0%,MMC- Clayton,0
90162896,33,0,0%,MMC- Clayton,0
90165262,32,0,0%,MMC- Clayton,0
90166170,28,0,0%,MMC- Clayton,0
90166333,4,0,0%,MMC- Clayton,0
90166347,5,0,0%,MMC- Clayton,0
90090296,25,2,8%,Dandenong,8
90124447,10,2,20%,Dandenong,20
90003634,2,1,50%,Dandenong,50
90007275,19,1,5%,Dandenong,5
90025727,3,1,33%,Dandenong,33
90035983,14,1,7%,Dandenong,7
90040773,5,1,20%,Dandenong,20
90049188,9,1,11%,Dandenong,11
90051139,14,1,7%,Dandenong,7
90053104,3,1,33%,Dandenong,33
90057408,8,1,13%,Dandenong,13
90057890,6,1,17%,Dandenong,17
90059584,3,1,33%,Dandenong,33
90072373,14,1,7%,Dandenong,7
90077401,3,1,33%,Dandenong,33
90080314,2,1,50%,Dandenong,50
90093189,2,1,50%,Dandenong,50
90097823,7,1,14%,Dandenong,14
90104011,10,1,10%,Dandenong,10
90107017,3,1,33%,Dandenong,33
90109083,15,1,7%,Dandenong,7
90117588,17,1,6%,Dandenong,6
90119742,6,1,17%,Dandenong,17
90123255,7,1,14%,Dandenong,14
90123274,8,1,13%,Dandenong,13
90123336,2,1,50%,Dandenong,50
90124202,10,1,10%,Dandenong,10
90124438,3,1,33%,Dandenong,33
90124439,6,1,17%,Dandenong,17
90141583,1,1,100%,Dandenong,100
90145323,5,1,20%,Dandenong,20
90154371,5,1,20%,Dandenong,20
