Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_percentage
90141884,11,MMC- Clayton,0,0,10.99778469,-0.002279872
90142519,38,MMC- Clayton,0,0,38.00050848,-0.001561053
90142824,17,MMC- Clayton,1,5,17.00151252,4.999094022
90142841,4,MMC- Clayton,0,0,4.003370783,0.001971866
90144405,99,MMC- Clayton,5,5,99.00407721,5.004916262
90144435,1,MMC- Clayton,0,0,0.998170382,-0.002192605
90144443,28,MMC- Clayton,3,10,27.9987639,10.00461078
90144607,8,MMC- Clayton,0,0,8.004699009,-0.003476243
90144736,24,MMC- Clayton,0,0,23.99963328,-0.004528027
90144765,5,MMC- Clayton,0,0,4.995854322,-0.004944768
90144787,21,MMC- Clayton,0,0,20.99741763,-0.004111946
90144878,22,MMC- Clayton,0,0,22.00351503,0.000867746
90144901,17,MMC- Clayton,1,5,17.00139799,5.004142729
90144911,5,MMC- Clayton,0,0,5.002296128,0.002778606
90144951,5,MMC- Clayton,0,0,4.996311418,0.001854902
90145024,4,MMC- Clayton,0,0,4.000110347,-0.003944012
90145085,17,MMC- Clayton,0,0,17.00142501,-0.002948788
90145086,55,MMC- Clayton,2,3,55.00285858,3.002527601
90145218,19,MMC- Clayton,0,0,19.00446825,0.00435404
90145257,8,MMC- Clayton,0,0,7.996189368,-0.002402782
90145261,1,MMC- Clayton,0,0,0.998287182,-0.000678571
90145292,6,MMC- Clayton,0,0,5.998064991,0.002552683
90145296,4,MMC- Clayton,0,0,4.000473963,-0.001504115
90145307,11,MMC- Clayton,0,0,10.9981164,0.003094267
90145390,34,MMC- Clayton,3,8,33.99844248,7.999750152
90145408,12,MMC- Clayton,0,0,11.9985132,-4.49694E-05
90145489,1,MMC- Clayton,0,0,1.003578885,0.002735071
90145549,25,MMC- Clayton,2,8,24.99658343,7.998952679
90145738,19,MMC- Clayton,1,5,18.99607976,5.001597138
90145754,60,MMC- Clayton,4,6,60.00103823,6.000569892
90145901,46,MMC- Clayton,2,4,45.99825912,4.004410178
90146286,22,MMC- Clayton,2,9,21.99631591,8.99967029
90148355,14,MMC- Clayton,1,7,14.00207143,6.995600364
90148809,3,MMC- Clayton,0,0,2.999152677,-0.004908745
90149605,17,MMC- Clayton,0,0,17.00301093,0.003162665
90150180,4,MMC- Clayton,1,25,3.995005939,25.0046254
90150775,2,MMC- Clayton,0,0,2.003675054,-0.004298028
90153189,6,MMC- Clayton,0,0,5.999150833,0.00133453
90153195,5,MMC- Clayton,0,0,5.002510162,0.000884761
90153448,1,MMC- Clayton,0,0,1.004519396,0.002736721
90154175,31,MMC- Clayton,1,3,31.00003406,3.002910274
90155074,5,MMC- Clayton,0,0,4.995001466,-0.000461022
90155188,67,MMC- Clayton,3,4,67.00366727,3.998534412
90155200,32,MMC- Clayton,1,3,32.00456746,2.99730475
90157612,33,MMC- Clayton,0,0,33.00165523,-0.003874711
90159236,4,MMC- Clayton,1,25,4.000961709,25.00190682
90160332,4,MMC- Clayton,0,0,4.004995867,0.002127711
90160501,6,MMC- Clayton,1,16,6.001481853,15.9958703
90160513,1,MMC- Clayton,0,0,1.003568766,-0.002401608
90160621,10,MMC- Clayton,0,0,9.999407359,-0.001242525
90160636,2,MMC- Clayton,0,0,1.997328496,-0.001784626
90160699,3,MMC- Clayton,0,0,3.003867686,-0.003065675
90161039,29,MMC- Clayton,1,3,29.00429146,2.998052565
90161091,28,MMC- Clayton,0,0,27.99941383,-0.002005789
90161185,1,MMC- Clayton,0,0,0.999948721,0.000357337
90161376,5,MMC- Clayton,0,0,4.996874755,0.004497612
90161873,34,MMC- Clayton,2,5,33.99922585,4.998271935
90162077,21,MMC- Clayton,1,4,20.9999352,4.001080607
90162078,20,MMC- Clayton,0,0,19.99945173,-0.001101733
90162079,57,MMC- Clayton,3,5,56.99518933,4.999642554
90162080,5,MMC- Clayton,0,0,5.002746155,-0.004083803
90162081,61,MMC- Clayton,3,4,60.99753225,4.002732204
90162082,11,MMC- Clayton,0,0,11.00412314,0.004980895
90162251,49,MMC- Clayton,3,6,49.00085919,6.002245823
90162252,46,MMC- Clayton,2,4,45.99947473,3.99859641
90162330,18,MMC- Clayton,0,0,17.99705158,-0.004355069
90162599,47,MMC- Clayton,2,4,46.99827962,3.999653986
90162759,31,MMC- Clayton,0,0,30.99593685,-0.002491369
90162896,33,MMC- Clayton,1,3,32.99737685,2.998365364
90165262,32,MMC- Clayton,0,0,31.99716289,0.003654576
90166103,12,MMC- Clayton,0,0,11.99869829,0.003237305
90166170,28,MMC- Clayton,0,0,28.00226766,-0.003501162
90166333,4,MMC- Clayton,0,0,3.995972537,-0.000631062
90166347,5,MMC- Clayton,0,0,4.998807456,-0.002170642
90000999,5,Dandenong,0,0,5.001893676,0.002704853
90002772,9,Dandenong,0,0,9.001414541,0.004714528
90003427,4,Dandenong,0,0,3.998429494,-0.00458775
90003514,1,Dandenong,0,0,0.995809308,-0.003084296
90003553,1,Dandenong,0,0,1.003156924,-0.002401932
90003634,2,Dandenong,0,0,1.99832951,-0.00334078
90003943,2,Dandenong,0,0,1.999018686,-0.002315893
90004058,2,Dandenong,0,0,2.003253094,0.003552425
90004171,3,Dandenong,0,0,2.995055255,-0.001708793
90004289,1,Dandenong,0,0,0.999158246,-0.004077219
90004406,1,Dandenong,0,0,0.995849182,0.003427732
90004790,3,Dandenong,0,0,2.996794694,-0.003890555
